dispute_ref,payment_ref,order_id,reason_code,reason_description,card_scheme,card_last_four,disputed_amount,transaction_date,dispute_date,arn,processor
DSP-20260710-001,PAY-20260705-6658,TTS-ORD-20260705-HVLZ0,13.1,Merchandise Not Received,Visa,6658,1225.0,2026-07-05 10:59:00,2026-07-28 10:59:00,74926830271002500705001,Adyen
DSP-20260710-002,PAY-20260604-5703,TTS-ORD-20260604-TC69Q,13.1,Merchandise Not Received,Visa,5703,39.98,2026-06-04 09:07:00,2026-06-15 09:07:00,74926830271002500604002,Worldpay
DSP-20260710-003,PAY-20260605-8895,TTS-ORD-20260605-SYWP0,13.1,Merchandise Not Received,Mastercard,8895,24.99,2026-06-05 13:08:00,2026-06-27 13:08:00,74926830271002500605003,Adyen
DSP-20260710-004,PAY-20260706-2807,TTS-ORD-20260706-LOUFH,10.4,Fraud - Card Not Present,Visa,2807,55.98,2026-07-06 11:27:00,2026-07-28 11:27:00,74926830271002500706004,Braintree
DSP-20260710-005,PAY-20260614-2960,TTS-ORD-20260614-LAVZM,10.4,Fraud - Card Not Present,Mastercard,2960,445.5,2026-06-14 14:18:00,2026-07-04 14:18:00,74926830271002500614005,Stripe
DSP-20260710-006,PAY-20260604-7401,TTS-ORD-20260604-LSH3T,13.3,Not as Described / Defective,Mastercard,7401,34.99,2026-06-04 09:15:00,2026-06-28 09:15:00,74926830271002500604006,Adyen
DSP-20260710-007,PAY-20260701-8849,TTS-ORD-20260701-B8C7X,13.3,Not as Described / Defective,Mastercard,8849,119.97,2026-07-01 22:40:00,2026-07-23 22:40:00,74926830271002500701007,Braintree
DSP-20260710-008,PAY-20260624-7870,TTS-ORD-20260624-7G8B2,13.6,Credit Not Processed,Mastercard,7870,49.98,2026-06-24 09:42:00,2026-07-13 09:42:00,74926830271002500624008,Adyen
DSP-20260710-009,PAY-20260609-5558,TTS-ORD-20260609-NC21O,13.7,Cancelled Merchandise/Services,Visa,5558,899.99,2026-06-09 12:10:00,2026-06-23 12:10:00,74926830271002500609009,Stripe
DSP-20260710-010,PAY-20260707-1984,TTS-ORD-20260707-J2JCN,12.5,Incorrect Amount,Visa,1984,13.99,2026-07-07 13:18:00,2026-07-15 13:18:00,74926830271002500707010,Adyen
DSP-20260710-011,PAY-20260604-3848,TTS-ORD-20260604-QOTVO,11.3,No Authorization,Visa,3848,34.99,2026-06-04 11:05:00,2026-06-21 11:05:00,74926830271002500604011,Stripe
DSP-20260710-012,PAY-20260605-1274,TTS-ORD-20260605-6XATO,13.2,Cancelled Recurring Transaction,Visa,1274,69.98,2026-06-05 08:26:00,2026-07-01 08:26:00,74926830271002500605012,Worldpay
